,GFNORTEO,BIMBOA,ALFAA,KIMBERA,GFINBURO
02/01/2002,19.04,18.1,10.41,26.99001,11.11
03/01/2002,19.57,18.44,11.24,27.070005,11.075
04/01/2002,19.43,18.98,11.45,27.15,11.04
07/01/2002,19.49,18.95,11.06,26.64999,10.9
08/01/2002,19.45,19,11.44,25.79001,10.84
09/01/2002,19.31,19,11.18,25.40001,10.4
10/01/2002,19,19,11.04,25.2,10.11
11/01/2002,18.5,18.82,11.21,25.47999,9.76
14/01/2002,18.65,18.82,11.19,25.40001,9.75
15/01/2002,19.2,19.74,11.89,25.62,10.25
16/01/2002,19.32,19.5,12.62,25.56999,10.04
17/01/2002,19.2,19.76,12.6,25.53,10.12
18/01/2002,18.99,19.9,12.48,25.95999,9.9
21/01/2002,19,19.9,12.7,25.95999,10.02
22/01/2002,19.4,19.9,12.65,25.70001,10
23/01/2002,20,19.8,13.37,25.98,10.54
24/01/2002,19.9,19.81,13.55,25.38,10.56
25/01/2002,20.09,19.58,14.44,25.05999,10.99
28/01/2002,20.44,19.49,15,24.95001,11.49
29/01/2002,19.9,19.23,14.59,24.86001,11.24
30/01/2002,20.43,19.22,14.59,24.84999,11.2
31/01/2002,20.49,19.2,14.85,25.01001,11.73
01/02/2002,20.52,19.2,14.44,25.52001,11.86
04/02/2002,20.51,19.3,14,25.68,11.88
05/02/2002,20.31,19.4,13.82,25.939995,11.905
06/02/2002,20.11,19.5,13.64,26.19999,11.93
07/02/2002,19.9,19.5,13.85,25.97001,12
08/02/2002,19.35,19.35,13.09,25.82001,11.49
11/02/2002,18.69,19.3,13.33,25.40001,11.13
12/02/2002,19.95,19.18,13.46,25.68,11.25
13/02/2002,20.1,19.1,13.76,25.65999,11.12
14/02/2002,20.5,19.19,13.98,25.88001,11.19
15/02/2002,20.58,19.35,13.88,25.95,11.19
18/02/2002,20.65,19.3,13.82,25.95,11.19
19/02/2002,20.65,19,13.69,25.95,11.04
20/02/2002,20.65,19.2,13.93,26.00001,11.35
21/02/2002,20.58,19.37,14.25,26.00001,10.94
22/02/2002,20.75,19.45,14.24,26.00001,10.94
25/02/2002,20.75,19.52,14.5,26.22999,11.15
26/02/2002,20.9,19.53,14.4,26.39001,11.2
27/02/2002,21.37,19.75,14.5,27.54,11.28
28/02/2002,20.2,18.5,15,24,12
,,,,,
